,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
1855,0,31,7,2,31,27,0,0,0,1,0,0,2,0,1
1856,1,27,5,2,27,22,0,0,0,0,1,2,0,0,0
1857,0,41,8,1,40,35,0,0,0,0,0,0,1,0,5
1858,0,54,11,2,54,43,0,0,0,1,1,0,4,0,4
1859,0,99,14,2,99,84,0,0,0,0,0,1,2,1,9
1860,1,50,10,0,49,42,0,0,0,2,0,2,2,0,2
1861,0,94,16,1,88,80,0,0,0,0,0,1,3,1,3
1862,0,71,13,0,71,61,0,0,0,1,0,3,2,0,3
1863,1,44,8,2,44,42,0,0,0,0,0,4,0,0,1
1864,0,83,15,3,83,16,0,1,0,0,0,0,6,1,7
1865,1,41,9,3,41,38,0,0,0,2,0,2,0,1,2
1866,0,98,16,1,98,83,0,0,0,0,0,0,3,2,10
1867,0,49,8,0,49,48,0,0,0,0,0,2,1,0,2
1868,0,62,9,4,62,54,0,0,0,1,0,0,1,0,2
1869,0,50,9,0,50,7,0,1,1,1,1,1,1,0,2
1870,0,69,12,4,69,62,0,0,0,0,0,3,2,0,2
1871,1,34,8,1,34,29,0,1,0,2,0,1,3,0,0
1872,0,45,9,1,43,38,0,0,0,0,0,0,1,1,5
1873,0,97,17,3,96,86,0,0,0,0,0,1,7,2,2
1874,1,53,10,0,53,52,0,0,0,0,0,1,4,1,1
1875,1,100,16,1,100,99,0,0,0,0,0,7,2,0,2
1876,1,40,6,1,36,38,0,0,0,1,2,1,0,0,0
1877,0,89,15,5,87,75,0,0,0,1,0,0,5,1,4
1878,0,43,7,0,43,38,0,0,0,0,1,3,0,1,0
1879,0,40,9,0,40,34,0,0,0,0,0,1,4,0,1
1880,0,84,14,1,84,64,0,1,1,0,3,1,2,0,5
1881,1,44,9,0,44,39,0,0,0,2,1,2,1,0,1
1882,1,36,8,0,36,35,0,0,0,1,1,1,1,0,0
1883,0,51,9,0,51,44,0,0,0,0,1,0,1,0,3
1884,0,47,9,1,47,39,0,0,0,0,1,4,0,0,2
1885,0,97,15,3,97,79,0,1,1,2,1,1,2,0,6
1886,1,57,10,1,57,48,0,0,0,2,2,3,1,0,1
1887,0,126,22,2,126,111,0,0,0,0,1,3,6,1,7
1888,0,58,10,4,58,48,0,0,0,0,1,2,2,2,1
1889,0,73,15,3,73,56,0,0,0,0,2,0,4,3,3
1890,0,79,15,0,76,69,0,0,0,0,0,0,3,2,6
1891,0,86,16,1,86,85,0,0,0,0,0,2,4,2,2
1892,0,98,14,5,96,89,1,0,0,0,0,2,3,1,3
1893,1,73,12,1,73,68,0,0,0,4,3,2,1,0,0
1894,1,33,7,0,33,31,0,0,0,1,1,1,0,0,2
1895,1,72,11,0,72,66,0,1,1,1,1,5,1,0,0
1896,0,114,22,0,114,99,0,0,0,1,0,1,9,3,5
1897,0,94,15,3,94,88,0,0,0,2,1,4,0,1,3
1898,1,54,9,2,54,50,1,0,0,1,1,0,0,0,4
1899,0,40,8,1,40,35,0,0,0,0,0,3,2,0,1
1900,0,121,20,2,121,101,0,0,0,3,1,2,4,2,4
1901,1,48,10,0,48,46,0,0,0,2,1,0,3,0,1
1902,0,102,16,6,102,96,0,0,0,0,0,1,0,4,6
1903,1,51,8,2,51,48,0,0,0,1,0,1,1,0,1
1904,0,80,11,2,80,72,0,1,0,0,0,1,1,1,5
1905,0,65,10,1,65,55,0,0,0,1,0,1,1,0,3
1906,1,43,8,1,35,38,0,0,0,2,1,3,0,0,0
1907,0,119,21,5,116,105,0,0,0,0,0,4,5,1,7
1908,1,46,8,3,46,45,0,0,0,0,1,3,0,0,0
1909,0,64,11,0,64,56,0,0,0,1,0,0,3,1,5
1910,1,40,6,0,40,38,0,0,0,1,2,2,0,0,0
1911,1,79,16,0,79,61,0,0,0,0,1,4,4,2,2
1912,0,67,12,0,62,60,0,0,0,1,1,2,4,0,2
1913,1,82,16,3,82,79,0,0,0,3,0,4,4,0,0
1914,0,53,10,2,53,40,0,0,0,0,0,1,3,2,3
1915,0,30,7,2,30,25,0,0,0,0,1,2,1,0,0
1916,1,14,3,1,14,13,0,0,0,0,0,1,0,0,0
1917,0,86,13,4,82,77,0,0,0,1,1,3,2,2,3
1918,0,52,11,1,52,51,0,0,0,0,0,3,0,2,2
