Date,qty_ordered
2021-03-05,2
2021-03-12,2
2021-03-12,2
2021-03-12,2
2021-03-17,3
2021-03-17,3
2021-03-19,2
2021-03-31,2
2021-03-31,3
2021-03-31,3
2021-03-31,3
2021-04-16,3
2021-04-30,6
2021-05-12,21
2021-05-12,2
2021-05-12,1
2021-05-19,2
2021-05-26,3
2021-05-26,3
2021-05-28,2
2021-05-28,2
2021-05-28,2
2021-06-02,2
2021-06-02,2
2021-06-02,2
2021-06-02,3
2021-06-02,3
2021-06-02,2
2021-06-02,3
2021-06-02,2
2021-06-02,2
2021-06-07,2
2021-06-12,2
2021-06-12,2
2021-06-12,2
2021-06-12,2
2021-06-12,2
2021-06-12,2
2021-06-13,21
2021-06-13,3
2021-06-16,3
2021-06-16,3
2021-06-17,3
2021-06-24,2
2021-06-24,2
2021-06-24,2
2021-06-24,3
2021-06-24,3
2021-06-24,3
2021-07-14,3
2021-07-14,3
2021-07-14,3
2021-07-14,3
2021-07-14,3
2021-07-28,2
2021-08-05,2
2021-08-05,2
2021-08-12,5
2021-08-12,3
2021-08-14,3
2021-08-14,3
2021-08-14,3
2021-08-14,2
2021-08-14,2
2021-08-14,2
2021-08-14,2
2021-08-15,3
2021-08-15,2
2021-08-29,3
2021-09-09,3
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-18,2
2021-09-19,4
2020-10-01,2
2020-10-01,2
2020-10-03,3
2020-10-01,2
2020-10-12,2
2020-10-12,2
2020-10-12,2
2020-10-16,2
2020-10-16,2
2020-10-16,2
2020-10-16,2
2020-10-18,2
2020-10-18,2
2020-10-19,9
2020-10-29,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,1
2020-12-20,1
2020-12-20,1
2020-12-20,1
2020-12-20,3
2020-12-27,2
2020-12-31,2
2020-12-31,2
2021-01-02,2
2021-01-13,2
2021-01-22,2
2021-01-23,2
2021-01-23,2
2021-02-03,1
2021-02-03,1
2021-02-04,2
2021-02-04,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,4
2020-11-26,3
2020-11-26,3
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-08,3
2020-10-08,3
2020-10-10,2
2021-01-01,3
2021-02-26,2
2021-03-04,2
2020-10-01,2
2020-10-01,2
2020-12-12,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,4
2020-12-20,4
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-21,2
2020-12-28,2
2020-12-28,2
2020-12-28,2
2020-12-28,2
2021-02-03,1
2021-02-03,1
2021-03-17,2
2021-03-19,2
2021-03-24,2
2021-03-24,2
2021-03-24,2
2021-03-24,2
2021-04-01,3
2021-04-01,3
2021-04-01,5
2021-04-01,2
2021-04-01,5
2021-04-11,2
2021-06-11,2
2021-06-11,2
2021-06-11,2
2021-06-11,2
2020-10-01,2
2020-11-26,2
2021-08-05,2
2020-10-01,2
2020-10-01,2
2020-11-05,2
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-02,2
2020-11-09,2
2020-10-01,3
2020-10-08,3
2020-12-16,2
2020-12-16,2
2020-12-21,2
2020-12-21,2
2020-12-21,1
2020-12-21,2
2020-12-21,2
2020-12-21,2
2020-12-25,2
2020-12-25,3
2020-12-25,2
2020-12-25,3
2020-12-25,3
2021-01-31,5
2021-02-02,5
2021-02-02,3
2021-03-20,5
2020-10-01,3
2020-10-03,3
2020-10-03,3
2020-10-11,2
2020-10-12,2
2020-10-12,2
2020-10-12,2
2020-10-12,2
2020-10-14,2
2020-10-14,2
2020-10-15,2
2020-10-16,2
2020-10-17,2
2020-10-21,2
2020-11-12,3
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2021-09-13,2
2021-09-13,2
2020-10-01,2
2020-11-12,2
2020-11-12,5
